feature,importance
eTIV,0.23420164096225818
Age,0.23012979513056453
ASF,0.20949524333494843
EDUC,0.15983425583101127
M/F,0.08373390042190895
SES_4.0,0.023233540724649365
SES_2.0,0.019501149227179018
SES_3.0,0.01929660723151981
SES_1.0,0.01841185974682492
SES_5.0,0.0021620073891355203
