cols,coef,odds
ASF,0.5072014747535826,1.6606373504821152
SES_5.0,0.3137443088316189,1.3685397682750577
Age,0.2314817035036865,1.2604662642502749
SES_4.0,0.07617600283806594,1.0791524913449944
SES_1.0,-0.07442634923590763,0.9282758397662464
SES_3.0,-0.12740253842892782,0.8803792147945156
SES_2.0,-0.1877417437895215,0.8288287297620515
eTIV,-0.6434636914704728,0.5254692051281348
EDUC,-1.1734324267137457,0.30930345569748424
M/F,-1.2780531602637428,0.2785791217663757
