,loss,accuracy,val_loss,val_accuracy
0,0.9937530755996704,0.5049479007720947,0.9623394012451172,0.518750011920929
1,0.8788067698478699,0.5713541507720947,0.8692207932472229,0.5947916507720947
2,0.7817140817642212,0.6330729126930237,0.7339490652084351,0.6572916507720947
3,0.6530897617340088,0.703125,0.622473418712616,0.7166666388511658
4,0.47583112120628357,0.792187511920929,0.55513596534729,0.7666666507720947
5,0.2937542498111725,0.88671875,0.4837307035923004,0.7895833253860474
6,0.17203816771507263,0.940625011920929,0.354474812746048,0.8666666746139526
7,0.12412472069263458,0.953125,0.4071280360221863,0.8333333134651184
8,0.04714404046535492,0.9856770634651184,0.20792075991630554,0.9354166388511658
9,0.019348518922924995,0.9963541626930237,0.24269302189350128,0.9312499761581421
10,0.04378659650683403,0.985156238079071,0.18518370389938354,0.9416666626930237
11,0.008006340824067593,0.9986979365348816,0.16236494481563568,0.953125
12,0.0016018316382542253,1.0,0.14014191925525665,0.9572916626930237
13,0.0007296676049008965,1.0,0.1591387689113617,0.9593750238418579
14,0.0004358699661679566,1.0,0.1637657731771469,0.9593750238418579
15,0.00034053545095957816,1.0,0.15780898928642273,0.9572916626930237
16,0.0002619569131638855,1.0,0.16483519971370697,0.9583333134651184
17,0.0002187463251175359,1.0,0.16499999165534973,0.9572916626930237
18,0.00018283618555869907,1.0,0.16755954921245575,0.9572916626930237
19,0.00015785591676831245,1.0,0.17164526879787445,0.9572916626930237
